<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;D;200103;000000;453.75;458.65;453.35;456.9;4364310
ROSN;D;200106;000000;458.8;460.4;453.4;455.6;6817630
ROSN;D;200108;000000;456;462.7;451.45;452;9228840
ROSN;D;200109;000000;452.4;460.95;450.7;460.2;4979740
ROSN;D;200110;000000;459.9;475.65;456.85;473.5;6694220
ROSN;D;200113;000000;474.45;482.25;472.15;481.15;4807490
ROSN;D;200114;000000;481.2;486.45;472.7;475.5;6552170
ROSN;D;200115;000000;474.65;482.1;469.95;474.5;4594560
ROSN;D;200116;000000;477.95;481.5;476.7;480.95;4122720
ROSN;D;200117;000000;482.45;487.2;481.25;485.15;4462140
ROSN;D;200120;000000;488;489.9;484.65;484.85;3123590
ROSN;D;200121;000000;482.55;486.85;479;486.15;2917150
ROSN;D;200122;000000;486.25;488.55;476.05;478.15;11723480
ROSN;D;200123;000000;475.05;479.7;470.6;473.1;4178020
ROSN;D;200124;000000;475.1;478.4;473.5;474;3296670
ROSN;D;200127;000000;469.1;473.8;465.8;468.3;5666060
ROSN;D;200128;000000;472;477.7;468.2;477.7;5878730
ROSN;D;200129;000000;480.05;482;475.6;481.7;6303100
ROSN;D;200130;000000;480.55;483.3;477.8;481.2;14579330
ROSN;D;200131;000000;483.6;486;478.75;480.5;8590650
ROSN;D;200203;000000;478.6;481.45;476.6;479.95;4669800
ROSN;D;200204;000000;481.35;483;478.35;480;8779820
ROSN;D;200205;000000;481;481.5;474.4;477;5656150
ROSN;D;200206;000000;478.55;480.5;471;475.6;4753390
ROSN;D;200207;000000;475.5;476.75;450.55;463.6;16661800
ROSN;D;200210;000000;463.65;463.85;447.8;450;8838180
ROSN;D;200211;000000;454.7;456.7;448.25;454.3;7800690
ROSN;D;200212;000000;456.45;465.8;455.5;465.8;7398340
ROSN;D;200213;000000;463.8;465.5;458.55;463;5194490
ROSN;D;200214;000000;462.6;464.4;456.25;460.5;4927690
ROSN;D;200217;000000;460.9;464.7;459.7;464.7;2861190
ROSN;D;200218;000000;462.5;466;440.7;452.2;12451240
ROSN;D;200219;000000;455.4;469;455.4;465.65;10639740
ROSN;D;200220;000000;468.2;476.95;465.6;470.4;9020310
ROSN;D;200221;000000;468.5;469;461.65;461.75;6003350
ROSN;D;200225;000000;455.15;458.75;442.7;443.85;7315110
ROSN;D;200226;000000;441.7;444.6;431.5;443.7;9685810
ROSN;D;200227;000000;436.9;440;420.95;422.05;9692300
ROSN;D;200228;000000;416.1;417;398.15;403.4;18857900
ROSN;D;200302;000000;410.95;415.4;389.5;394.5;11836540
ROSN;D;200303;000000;406.05;411.95;400.5;406;11093190
ROSN;D;200304;000000;402.95;416.55;399.2;415.95;9077990
ROSN;D;200305;000000;417.8;420;408.5;410.6;8604330
ROSN;D;200306;000000;405.95;406.95;391.05;392.95;12738960
ROSN;D;200310;000000;353.7;357.4;320;326.5;38145830
ROSN;D;200311;000000;332.7;334.4;310.95;314.05;20713740
ROSN;D;200312;000000;300;305;270.8;277.5;29181800
ROSN;D;200313;000000;262;288.65;261.4;266.25;44524210
ROSN;D;200316;000000;266.25;280;251;258.5;30921610
ROSN;D;200317;000000;260.65;268;246.25;249.15;19681860
ROSN;D;200318;000000;244;244.75;229.8;234;19290210
ROSN;D;200319;000000;237.05;268.65;230.05;264.4;37651340
ROSN;D;200320;000000;274.5;299.4;272;287.75;45298880
ROSN;D;200323;000000;275;276.45;265.15;274;35798070
ROSN;D;200324;000000;298.1;301.25;285.45;298.5;22552830
ROSN;D;200325;000000;304.7;319.75;287.75;304.75;36639270
ROSN;D;200326;000000;304.5;319.95;291;316.2;20450190
ROSN;D;200327;000000;315.85;322;296.3;302.8;13827680
ROSN;D;200330;000000;316.5;325.75;293.55;301;29649570
ROSN;D;200331;000000;305.15;319.75;304;314.35;25479010
ROSN;D;200401;000000;308;324.6;304.2;321;18316530
ROSN;D;200402;000000;334.95;354.3;324.65;340.5;38669380
ROSN;D;200403;000000;344.05;355;340.55;345;37173790
ROSN;D;200406;000000;348.05;352;340.25;343;18118390
ROSN;D;200407;000000;350;386.95;337.55;339.5;28475380
ROSN;D;200408;000000;336.95;342.95;335.7;341.5;13988970
ROSN;D;200409;000000;347.85;355;341.5;353;27072440
ROSN;D;200410;000000;349.95;350.05;342.15;344;12759730
ROSN;D;200413;000000;345;346.5;334.4;336.7;9810560
ROSN;D;200414;000000;339.15;342;327.4;330.95;13242050
ROSN;D;200415;000000;328;328.35;304.05;307.25;19838270
ROSN;D;200416;000000;308.55;314.9;296.25;305.75;21543770
ROSN;D;200417;000000;312;314.75;307.3;313.9;14630190
ROSN;D;200420;000000;310.5;314.5;307.8;307.9;12202180
ROSN;D;200421;000000;299.25;306.95;293.5;304;25171350
ROSN;D;200422;000000;299.8;329.1;299.2;321.95;24948470
ROSN;D;200423;000000;329.6;336.8;324.1;335;22942560
ROSN;D;200424;000000;334.5;334.5;322.5;324;16513470
ROSN;D;200427;000000;322.75;327.3;319.3;322.9;10219540
ROSN;D;200428;000000;320.9;331.3;318;325.1;17579090
ROSN;D;200429;000000;328.15;338.25;326.5;337.95;15348920
ROSN;D;200430;000000;343.35;346.45;330.3;335.65;17110780
ROSN;D;200504;000000;330.95;332.75;325.05;331;8818640
ROSN;D;200505;000000;336.95;343.55;334;342.5;13954260
ROSN;D;200506;000000;343.8;344.85;335;336.65;14581140
ROSN;D;200507;000000;337.35;344.55;336.75;343;12484260
ROSN;D;200508;000000;344.05;350;340.25;348;9539910
ROSN;D;200512;000000;347.5;355.7;345.2;351.1;11119860
