<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
SBER D 200103 000000 255.97 258.19 253.7 255 35824160
SBER D 200106 000000 254.75 254.84 251.4 253.9 22327940
SBER D 200108 000000 253.62 259.15 253.03 259.15 40736030
SBER D 200109 000000 259.41 261.76 257.01 257.99 38196300
SBER D 200110 000000 257.91 259.25 256.88 258.19 18841650
SBER D 200113 000000 258.21 262.4 257.15 262.4 25849900
SBER D 200114 000000 262.58 263.22 258.62 259.05 31097130
SBER D 200115 000000 258.45 258.91 254.21 256.31 49328500
SBER D 200116 000000 257.11 259.51 256.1 257.51 40225420
SBER D 200117 000000 258.2 262.82 257.75 262.5 44891340
SBER D 200120 000000 263.22 266.97 261.8 266.28 29749210
SBER D 200121 000000 265.47 268.9 263.02 268.06 37927820
SBER D 200122 000000 268.63 270.8 265.5 266.54 44170920
SBER D 200123 000000 264.9 266.89 262.24 263.73 40484270
SBER D 200124 000000 264.53 267.5 264.21 265.49 27246250
SBER D 200127 000000 260.99 262.1 255.32 255.32 56011660
SBER D 200128 000000 257.05 258.84 254.1 257.7 47921360
SBER D 200129 000000 258.4 261.57 257.61 259.94 34921040
SBER D 200130 000000 257.97 258.69 255.27 257.31 31552340
SBER D 200131 000000 258.5 259.2 252.17 252.2 47800190
SBER D 200203 000000 251.8 254.96 251.1 253.99 52621110
SBER D 200204 000000 255.33 257.38 252.9 255.4 49731290
SBER D 200205 000000 255.89 257.66 253.14 255.2 50719760
SBER D 200206 000000 256.66 258 251.86 252.11 43319020
SBER D 200207 000000 253.13 254.3 248.73 254.3 50059840
SBER D 200210 000000 254.55 255.73 252.07 252.26 34935840
SBER D 200211 000000 253.78 259.77 253 254.5 79392360
SBER D 200212 000000 255.4 255.49 252.31 254.5 52447350
SBER D 200213 000000 253.62 255.18 252.5 253.89 36654420
SBER D 200214 000000 254.38 254.38 251.4 251.75 29982140
SBER D 200217 000000 252.5 253.1 250.13 251.36 26370580
SBER D 200218 000000 250.08 250.44 247.57 249.2 36259430
SBER D 200219 000000 250.37 250.68 247.95 249.7 25740870
SBER D 200220 000000 250.07 252.17 249.13 250.15 30707880
SBER D 200221 000000 248.42 251.49 247.24 250.8 27682840
SBER D 200225 000000 247.98 248.83 245.17 245.19 40505070
SBER D 200226 000000 244.75 251.21 243.22 250.8 67529090
SBER D 200227 000000 247.5 248.98 242 242.88 57887670
SBER D 200228 000000 234.96 239 231 233.36 123187610
SBER D 200302 000000 238.55 241 218.86 228.17 101688550
SBER D 200303 000000 233 239 232.28 236.63 83491100
SBER D 200304 000000 234.13 236.7 232.62 235.27 54165550
SBER D 200305 000000 237.03 238.72 230.64 232.33 56972700
SBER D 200306 000000 227.99 229.2 216.67 219.99 103932680
SBER D 200310 000000 197.99 212.74 184.86 201.2 243308680
SBER D 200311 000000 202.2 204.33 192.05 194.53 137765860
SBER D 200312 000000 185.17 187.87 173.14 175.91 197162330
SBER D 200313 000000 175 199.52 174.3 198.6 262618120
SBER D 200316 000000 194 196.7 186 195.85 173656160
SBER D 200317 000000 194.92 204.78 183.8 184.01 183602360
SBER D 200318 000000 178.95 182.2 172.15 174.27 154736970
SBER D 200319 000000 178.5 190.15 173.06 189.51 187222370
SBER D 200320 000000 198.62 201.86 192.05 195.69 170124950
SBER D 200323 000000 188 190.99 182.1 183.37 157690770
SBER D 200324 000000 193.3 195 189.1 192.64 104281150
SBER D 200325 000000 196.37 201 182.32 188.08 187724830
SBER D 200326 000000 187.69 191.2 182.8 188.07 111338470
SBER D 200327 000000 188.05 188.97 180.17 180.38 114106500
SBER D 200330 000000 177.03 183.2 174.9 183 93995170
SBER D 200331 000000 186 188.77 184.25 187.21 113605840
SBER D 200401 000000 183.2 185.47 182 184.78 76453050
SBER D 200402 000000 188.34 189.9 182 186.95 125289380
SBER D 200403 000000 186.6 187.49 184.28 185.64 92726520
SBER D 200406 000000 187.52 192.02 186.42 190.7 77520920
SBER D 200407 000000 193.1 200.54 193.06 197.63 136262480
SBER D 200408 000000 196.2 200.29 195.12 200.29 89695510
SBER D 200409 000000 202.4 205.44 199.3 203.61 109748080
SBER D 200410 000000 201.85 202.75 200.7 201.99 28658630
SBER D 200413 000000 201.99 202.16 197.32 198.26 41196340
SBER D 200414 000000 199.99 202.85 196.1 197.37 80132500
SBER D 200415 000000 196 196.25 186.06 186.07 97979270
SBER D 200416 000000 187.22 191.67 183.53 188.5 109069050
SBER D 200417 000000 192.5 192.7 188.28 191.8 71522530
SBER D 200420 000000 190.6 192.23 187.31 189.32 62162030
SBER D 200421 000000 185.54 187.5 183.65 186.05 94053840
SBER D 200422 000000 185.05 191.94 184.5 190.2 75194080
SBER D 200423 000000 192 192.5 188.68 190.94 62581600
SBER D 200424 000000 189.73 191.65 187.7 188.91 55252250
SBER D 200427 000000 189.95 190.5 188.43 188.9 43627150
SBER D 200428 000000 188.55 194.22 188.17 192.8 78555750
SBER D 200429 000000 194.36 195.8 192.86 195.8 69766160
SBER D 200430 000000 196.52 199.7 195.46 197.25 87028430
SBER D 200504 000000 195.68 195.68 193.26 193.69 56239930
SBER D 200505 000000 195.54 196.46 194 194.75 35239920
SBER D 200506 000000 194.99 197.23 194.3 195.7 49513900
SBER D 200507 000000 196 198.15 195.06 195.51 57670560
SBER D 200508 000000 196 196.25 194.6 196.02 33775280
SBER D 200512 000000 193.3 198 191.2 191.4 67270320
SBER D 200513 000000 190.05 190.6 186.66 187.31 63256890
